Name,Contact,Hospital,Specialization
Dr. John Smith,555-1234,City Hospital,Endocrinologist
Dr. Emily Davis,555-5678,Green Clinic,Cardiologist
Dr. Michael Johnson,555-8765,Main Medical Center,Neurologist
Dr. Linda Martinez,555-3456,North Clinic,Endocrinologist
Dr. Mary Thompson,555-2222,Westside Clinic,Endocrinologist
Dr. Robert Brown,555-3333,Silver Oaks Hospital,Cardiologist
Dr. Anna Wilson,555-4444,Hillview Clinic,Neurologist
Dr. Laura Johnson,555-6666,Oceanview Clinic,Endocrinologist
Dr. Daniel White,555-7777,Mountain Health Center,Cardiologist
Dr. Michelle Green,555-8888,Forest Medical,Neurologist
Dr. Christopher Martinez,555-1515,Northside Hospital,Cardiologist
Dr. Elizabeth Robinson,555-1616,Byculla Medical Center,Endocrinologist
Dr. Brian Lewis,555-1717,Eastwood Clinic,Neurologist
Dr. Kevin Scott,555-2323,City Hospital,Neurologist
Dr. Jessica Moore,555-2626,Lakeside Hospital,Endocrinologist
